제품명,총 열량,나트륨,탄수화물,당류,지방,단백질
낙지 연포탕 세트 ,535,1250,74,4,94,25
닭살커리볶음 세트,305,860,18,7,83,24
대파듬뿍두부조림 세트,325,470,21,6,55,24
돼지고기찜 세트,315,810,28,9,70,22
마제덮밥소스 세트,405,720,24,9,103,33
매콤순두부돼지고기소스 세트,395,880,26,6,66,23
매콤아귀불고기/시래기콩비지찌개 세트,605,890,84,5,85,29
쌈장제육 세트,310,540,14,5,80,27
애호박짜글이 세트,400,780,34,8,94,28
연근솥밥&매콤닭불고기 세트,615,640,90,8,84,29
연자육소불고기 세트,325,550,31,7,47,17
오븐치킨&영양솥밥 세트,550,660,73,6,110,28
진저포크볶음 세트,330,570,25,5,65,27
치킨스테이크덮밥 세트,545,1000,74,10,109,27
코다리살감자조림 세트,285,450,24,8,170,19
쿵파오쉬림프 세트,335,830,28,11,198,21
토마토소스찜닭 세트,325,690,28,8,60,24
해주식교반 세트,495,660,72,5,53,25
궁중두부잡채 세트,720,980,88,8,77,38
낙지연포탕 세트,535,1,74,4,94,25
대구살스테이크/된장소스 세트,515,970,69,6,125,30
백김치들기름닭구이 세트,550,900,80,7,105,29
수삼불고기 세트,500,650,70,4,56,26
열무보리비빔밥 세트,610,1,91,4,85,32
영양들깨닭죽 세트,580,1,79,6,63,31
오리깻잎불고기 세트,535,750,63,5,115,32
가자미살미역국 세트,530,1,60,3,89,34
주꾸미돈채비빔밥 세트,540,790,78,5,126,26
치킨스테이크덮밥 세트,545,1,74,10,109,27
가자미부지깽이솥밥 세트,510,630,71,5,57,33
녹두삼계솥밥 세트,575,740,96,5,126,31
대구살솥밥&시래기사태찜 세트,515,580,77,3,58,33
매콤마늘코다리찜 세트,575,590,100,7,62,29
매콤소불고기&잡채볶음밥 세트,505,630,78,13,43,22
매콤오징어미나리덮밥 세트,625,600,105,9,222,24
산나물비빔밥&돼지불고기 세트,560,490,80,5,58,21
새우코코넛밀크커리 세트,570,710,101,16,94,15
소불고기고구마솥밥 세트,580,590,97,17,49,22
연어두부백김치솥밥 세트,525,410,96,5,27,22
